Content;Url;Date
Jag är tacksam av att fått hjälp med mitt återköp av Adam på Nöjesresor. Det händer saker i familjer som att överraska varann. Det hade blivit dubbletter av evenemang. Jag kunde inte först boka av. Men det var skönt att få den hjälpen. Var säker innan man beställer biljetter, ta alltid försäkring, man vet aldrig vad som händer. Tack Adam för hjälpen. Mvh Cathrine;https://www.trustpilot.com/reviews/658298fe515f7b084fa25197;2024-01-05T14:17:58.0000000Z
Har bokat men försökt ringa kundtjänst utan något resultat. Enligt vanlig biljettbokning (utan nöjesresor)  kan man välja plats vilket man inte har kunnat när man bokar via er. Försökte ringa upp för information gällande detta men lade på efter 20 minuters väntan. Han ännu inte gjort resan så kan inte ge ett helt omdöme.;https://www.trustpilot.com/reviews/656f7e69a7c6cf3a0cf1ec8a;2023-12-05T21:47:53.0000000Z
Vår föreställning blev inställd och det är sånt som händer, vi fick olika alternativ, vi valde att behålla hotellet då vi fira en 60 åring denna helg, när vi skulle boka nytt datum för föreställningen kunde man enbart boka Hotell+ föreställning känner oss ganska lurade;https://www.trustpilot.com/reviews/6581b7590d9ff40feea75326;2023-12-19T17:31:37.0000000Z
Fantastisk show. Hotellet Åby renoverade sitt kök när vi var där så vi fick en frukostbricka på travet. Den var under all kritik, det hade de kunnat göra så mycket bättre. Detta drog ner vår vistelse. Besviken att vi inte fick information om detta innan, hade då kunnat valt ett annat hotell.;https://www.trustpilot.com/reviews/6575912a4899e478c999ee51;2023-12-10T12:21:31.0000000Z
Hej,Tyckte det som helhet var bra.Det som var tråkigt var att det fanns ingen tydliginformation om att om man lämnade eventet (WM damer) så fick man inte komma in igen.Vilket resulterade i att vi fick köpa dubbla biljetterdå vi bokat resturang utanför eventet mellan matcherna.;https://www.trustpilot.com/reviews/6577358b799ce357fa88316f;2023-12-11T18:15:08.0000000Z
Vårt evenemang blev inställt och vi bokade om till ett annat evenemang, men tyvärr blev min fru sjuk i covid 19, så vi var tvungna att boka av.Det krävs läkarintyg enligt försäkringsbolaget, men det går inte att få om du inte är inlagd på sjukhus.Vi blev blåsta både på evenemang och pengarna.Besviken!;https://www.trustpilot.com/reviews/656e20bd5de5f1736085380c;2023-12-04T20:55:57.0000000Z
Orderbekräftelse på bokning kom 1 dag eller 2 efter bokningstilkfället med platsbokning på show och hotell. 2 dagar efter orderbekräftelsen så kom mina biljetter till showen. Än så länge har allt fungerat utmärkt.;https://www.trustpilot.com/reviews/6559f31816b0fdcd1f4a79ca;2023-11-19T13:35:52.0000000Z
Försökte boka av min bokning eftersom det blev fel. Ringde efter ca 30 minuter och fick svar att det inte gick. Dåligt tycker jag, jag hade inte fått biljetter mm. Besviken kommer inte att boka genom er igen;https://www.trustpilot.com/reviews/6597f70030176a71e6c18646;2024-01-05T14:33:04.0000000Z
"Dåligt att inte kunna välja platsplacering vid bokning och betalning. Framgår bara vilken biljettkategori jag köper.Först 14 dagar innan föreställning avslöjades placeringen. Känns lite som att ""köpa grisen i säcken"" då det handlar om dyra biljetter.";https://www.trustpilot.com/reviews/656999dfd924840327557302;2023-12-01T10:31:27.0000000Z
Bra föreställning, men hotellet var si så där. Rummet var väldigt litet, bara en säng och sängbord. Inga stolar att sitta på. Jag kunde dessutom inte använda mitt Scandic medlemsskap för att registrera poäng. Dåligt.;https://www.trustpilot.com/reviews/6583762ebf64f25b96374b02;2023-12-21T01:18:06.0000000Z
